settlement_id,utr,gross,fees,gst,tds,net,settled_at,instant
setl_merchant_1_0041,HDFCN42025111805780563,180303.33,1624.25,292.38,1000.35,151735.73,2025-11-18T18:30:00+05:30,0
setl_merchant_1_0042,HDFCN62025111800675870,142747.27,1290.88,232.37,550.59,137879.08,2025-11-18T18:30:00+05:30,0
setl_merchant_1_0043,776330435233,69788.33,756.64,136.20,388.09,66523.47,2025-11-19T18:30:00+05:30,0
setl_merchant_1_0044,HDFCR920251119803259,80767.25,654.94,117.88,382.88,82036.12,2025-11-19T18:30:00+05:30,0
setl_merchant_1_0045,492634825169,174417.63,1437.79,258.81,1012.78,162019.70,2025-11-19T18:30:00+05:30,0
setl_merchant_1_0046,HDFCN32025111937994648,114635.36,1425.93,256.65,534.53,109438.59,2025-11-19T18:30:00+05:30,0
setl_merchant_1_0047,HDFCN62025112068615617,26185.88,279.01,50.23,141.21,24529.74,2025-11-20T18:30:00+05:30,0
setl_merchant_1_0048,HDFCR520251120700825,28670.82,395.74,71.26,167.98,26780.40,2025-11-20T18:30:00+05:30,0
setl_merchant_1_0049,HDFCN82025112007408938,70324.81,781.57,140.66,328.74,64485.41,2025-11-20T18:30:00+05:30,0
setl_merchant_1_0050,HDFCN92025112046469656,49205.05,543.69,97.86,277.23,44891.70,2025-11-20T18:30:00+05:30,0
setl_merchant_1_0051,HDFCN92025112181201013,21061.43,131.77,23.72,106.73,18569.18,2025-11-21T18:30:00+05:30,0
setl_merchant_1_0052,HDFCN72025112198633588,58878.37,842.30,151.62,216.97,52582.01,2025-11-21T18:30:00+05:30,0
setl_merchant_1_0053,HDFCR420251121521559,91523.28,767.62,138.16,475.73,100366.67,2025-11-21T18:30:00+05:30,0
setl_merchant_1_0054,HDFCN52025112149213569,89123.84,992.06,178.59,563.49,97820.50,2025-11-21T18:30:00+05:30,0
setl_merchant_1_0055,607424454864,9968.51,144.37,26.00,54.42,9244.89,2025-11-24T18:30:00+05:30,0
setl_merchant_1_0056,HDFCN12025112416830325,42973.75,466.79,84.02,285.85,52093.43,2025-11-24T18:30:00+05:30,0
setl_merchant_1_0057,,109448.57,1562.80,281.31,701.30,103490.19,2025-11-24T18:30:00+05:30,0
setl_merchant_1_0058,HDFCN22025112420190878,95133.02,626.11,112.70,642.57,92170.13,2025-11-24T18:30:00+05:30,0
setl_merchant_1_0059,HDFCN92025112578516002,53283.26,1090.94,196.38,390.38,51605.56,2025-11-25T18:30:00+05:30,1
setl_merchant_1_0060,HDFCR220251126980399,44770.07,443.41,79.83,316.63,43930.20,2025-11-26T18:30:00+05:30,1
setl_merchant_1_0061,HMNKMHRDGQMKVJ0S,4614.96,59.27,10.67,15.31,4421.68,2025-11-26T18:30:00+05:30,0
setl_merchant_1_0062,801736095102,79475.51,811.77,146.13,492.96,76199.05,2025-11-26T18:30:00+05:30,0
setl_merchant_1_0063,HDFCN82025112642867840,78539.32,789.53,142.13,359.84,73928.79,2025-11-26T18:30:00+05:30,0
setl_merchant_1_0064,HDFCR920251126666602,49976.40,322.85,58.11,380.09,46551.50,2025-11-26T18:30:00+05:30,0
setl_merchant_1_0065,,32550.81,204.83,36.87,152.26,31180.27,2025-11-27T18:30:00+05:30,0
setl_merchant_1_0066,756870028007,141902.44,1738.05,312.86,900.67,122868.88,2025-11-27T18:30:00+05:30,0
setl_merchant_1_0067,HDFCN42025112722966238,195725.71,2104.26,378.76,1043.82,168538.67,2025-11-27T18:30:00+05:30,0
setl_merchant_1_0068,326955676075,197951.09,2141.92,385.55,1089.18,173568.58,2025-11-27T18:30:00+05:30,0
setl_merchant_1_0069,OD4XGPPY5JO0B464,148788.31,1223.26,220.18,886.83,139566.81,2025-11-28T18:30:00+05:30,0
setl_merchant_1_0070,HDFCN22025112894709141,171972.06,1641.46,295.47,969.90,162168.49,2025-11-28T18:30:00+05:30,0
setl_merchant_1_0071,453173460099,13704.92,48.03,8.65,85.10,13493.30,2025-11-29T18:30:00+05:30,0
setl_merchant_1_0072,HDFCR620251129595360,65116.06,440.08,79.21,534.49,63269.92,2025-11-29T18:30:00+05:30,0
setl_merchant_1_0073,117328962531,60648.02,693.30,124.80,296.01,53134.21,2025-11-29T18:30:00+05:30,0
setl_merchant_1_0074,OGCRY10SAKJZ0AQB,86995.78,853.78,153.72,397.55,79811.72,2025-11-29T18:30:00+05:30,0
setl_merchant_1_0075,HDFCN42025120171511212,7664.29,81.34,14.63,31.22,6958.31,2025-12-01T18:30:00+05:30,0
setl_merchant_1_0076,HDFCN12025120145191841,42503.31,340.20,61.22,159.40,37054.86,2025-12-01T18:30:00+05:30,0
setl_merchant_1_0077,975390837671,71184.16,877.47,157.94,535.73,62666.78,2025-12-01T18:30:00+05:30,0
setl_merchant_1_0078,874925623994,93318.25,813.75,146.48,652.06,81836.64,2025-12-01T18:30:00+05:30,0
setl_merchant_1_0079,792993835970,21423.27,243.75,43.87,126.11,20525.75,2025-12-02T18:30:00+05:30,0
setl_merchant_1_0080,020096883696,48407.16,260.99,46.99,164.00,60711.11,2025-12-02T18:30:00+05:30,0
setl_merchant_1_0081,033335828189,80935.01,823.05,148.14,463.92,77300.92,2025-12-02T18:30:00+05:30,0
setl_merchant_1_0082,605778841215,48108.43,358.35,64.49,282.65,61330.75,2025-12-02T18:30:00+05:30,0
setl_merchant_1_0083,HDFCR320251203397535,26186.01,121.85,21.93,194.75,19233.37,2025-12-03T18:30:00+05:30,0
setl_merchant_1_0084,HDFCR220251203774657,63872.02,662.60,119.26,438.08,33438.33,2025-12-03T18:30:00+05:30,0
setl_merchant_1_0085,HDFCN32025120328107919,70398.19,953.20,171.54,554.65,30838.05,2025-12-03T18:30:00+05:30,0
setl_merchant_1_0086,,55606.40,572.48,103.04,251.48,34997.06,2025-12-03T18:30:00+05:30,0
