bank_txn_id,value_date,amount,narration
bnk_000000000050,2025-12-01,-26620.04,DEBIT/rfnd_000000000008/REFUND  ADJ/RAZORPAY  SOFTWARE PVT LTD//087
bnk_000000000053,2025-12-01,-16258.91,REFUND RECOVERY rfnd_000000000014 RZP SETTLEMENT//09969
bnk_000000000054,2025-12-01,-29148.00,REFUND  RECOVERY rfnd_000000000018 RAZORPAY SOFT PVT L
bnk_000000000072,2025-12-01,-23678.35,NEFT-DR-ICICN62025120193186478-REFUND-rfnd_000000000074
bnk_000000000043,2025-12-02,1339851.16,cms-cr/icic/ge3pjli4dr1jpbjz/razorpay software pvt ltd/merchant settlement//738045
bnk_000000000074,2025-12-02,-231213.00,DEBIT/rfnd_000000000077/REFUND ADJ/RAZORPAYSOF
bnk_000000000081,2025-12-02,-6776.00,CHARGEBACK DR disp_000000000012 RAZORPAY SOFT PVT L
bnk_000000000044,2025-12-03,658883.57,RTGS CR ICICR920251203575034 RZP SETTLEMENT SETTLMNT
bnk_000000000045,2025-12-03,2695714.54,RAZORPAY SOFT PVT L SETTLEMENT CREDIT
bnk_000000000046,2025-12-03,-3343.10,NEFT-DR-ICICN52025120304711891-REFUND-rfnd_000000000002//760
bnk_000000000051,2025-12-03,-15044.44,DEBIT/rfnd_000000000010/REFUND ADJ/RAZORPAYSOF//238
bnk_000000000055,2025-12-03,-14813.17,REFUND  RECOVERY  rfnd_000000000022
bnk_000000000056,2025-12-03,-6041.63,REFUND RECOVERY rfnd_000000000025 RZP SETTLEMENT
bnk_000000000059,2025-12-03,-35511.99,DEBIT/rfnd_000000000036/REFUND  ADJ/
bnk_000000000062,2025-12-03,-17612.03,DEBIT/rfnd_000000000050/REFUND ADJ/RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000067,2025-12-03,-129880.59,REFUND RECOVERY rfnd_000000000060 RAZO
bnk_000000000073,2025-12-03,-2741.51,NEFT DR ICICN12025120368158692 REFUND rfnd_000000000075
bnk_000000000075,2025-12-03,-28174.99,REFUND RECOVERY rfnd_000000000079 RAZORPAYSOF
bnk_000000000084,2025-12-03,15185.66,ROLLING RESERVE REL/ICICN32025120315045082/RAZORPAYSOF//3253
